
#RECIPE
Flags      0

#RECIPE
Number     79
First      20028
Second     14150
Result     19404
Flags      0

#RECIPE
Number     80
First      14150
Second     20023
Result     20119
Flags      0

#RECIPE
Number     81
First      20
Second     17001
Result     18720
Flags      512

#RECIPE
Number     82
First      20
Second     20020
Result     18719
Flags      512

#RECIPE
Number     83
First      20
Second     17109
Result     18718
Flags      513

#RECIPE
Number     84
First      20
Second     10001
Result     18717
Flags      512

#RECIPE
Number     85
First      20
Second     10000
Result     18717
Flags      512

#RECIPE
Number     86
First      20
Second     20028
Result     18716
Flags      512

#RECIPE
Number     87
First      20
Second     19400
Result     18716
Flags      512

#RECIPE
Number     88
First      17750
Second     20029
Result     18799
Flags      0

#RECIPE
Number     89
First      20
Second     18750
Result     18715
Flags      512

#RECIPE
Number     90
First      18750
Second     17001
Result     18751
Flags      1

#RECIPE
Number     91
First      18750
Second     19996
Result     18752
Flags      515

#RECIPE
Number     92
First      14152
Second     17109
Result     18730
Flags      0

#RECIPE
Number     93
First      18750
Second     18730
Result     18753
Flags      512

#RECIPE
Number     94
First      18750
Second     14151
Result     18754
Flags      513

#RECIPE
Number     95
First      21
Second     14151
Result     20120
Flags      0

#RECIPE
Number     96
First      20120
Second     14152
Result     20121
Flags      0

#RECIPE
Number     97
First      20028
Second     20031
Result     19405
Flags      0

#RECIPE
Number     98
First      21
Second     19996
Result     49
Flags      0

#RECIPE
Number     99
First      18750
Second     16899
Result     18755
Flags      519

#RECIPE
Number     100
First      18750
Second     14150
Result     17051
Flags      6

#RECIPE
Number     101
First      20091
Second     10001
Result     18770
Flags      0

#RECIPE
Number     102
First      20091
Second     17750
Result     18771
Flags      0

#RECIPE
Number     103
First      20091
Second     14150
Result     18772
Flags      0

#RECIPE
Number     104
First      20027
Second     17001
Result     18780
Flags      513

#RECIPE
Number     105
First      18780
Second     20028
Result     18781
Flags      0

#RECIPE
Number     106
First      17099
Second     17001
Result     17090
Flags      0

#RECIPE
Number     107
First      17001
Second     18760
Result     18761
Flags      517

#RECIPE
Number     108
First      18760
Second     14150
Result     71
Flags      6

#RECIPE
Number     109
First      18754
Second     18761
Result     18762
Flags      0

#RECIPE
Number     110
First      18780
Second     18760
Result     18782
Flags      0

#RECIPE
Number     111
First      16890
Second     20032
Result     16851
Flags      1

#RECIPE
Number     112
First      20027
Second     20032
Result     16801
Flags      1

#RECIPE
Number     113
First      20
Second     10
Result     18714
Flags      1

#RECIPE
Number     114
First      18780
Second     10
Result     18783
Flags      513

#RECIPE
Number     115
First      17099
Second     10
Result     17091
Flags      513

#RECIPE
Number     116
First      10
Second     16820
Result     7700
Flags      0

#RECIPE
Number     117
First      17002
Second     18750
Result     17004
Flags      6

#RECIPE
Number     118
First      17099
Second     18730
Result     17092
Flags      0

#RECIPE
Number     119
First      14150
Second     8000
Result     8001
Flags      1028

#RECIPE
Number     120
First      17002
Second     8000
Result     8099
Flags      1543

#RECIPE
Number     121
First      20031
Second     8000
Result     8002
Flags      6

#RECIPE
Number     122
First      16820
Second     8000
Result     8003
Flags      7
#END
